Nom de la gare;Code UIC;Code postal;Segmentation DRG;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015
Rœux;87342089;62118;c;17040;17040;14871;14871;21031;21031;21018;21018;23640;23640;22208;22208;23362;23362
La Jarrie;87485185;17220;c;17939;17939;13853;13853;18035;18035;9346;9346;6372;6372;119;119;0;0
Rognac;87753251;13340;b;178481;223101;154490;193113;221956;277445;205256;256571;229253;286566;222997;278746;240424;300530
La Madeleine;87286187;59110;c;12674;12674;8254;8254;9570;9570;8509;8509;10248;10248;10580;10580;11508;11508
Romanèche-Thorins;87725739;71570;c;32133;32133;26448;26448;44326;44326;36632;36632;38947;38947;37297;37297;37227;37227
La Méaugon;87473124;22440;c;546;546;803;803;672;672;141;141;9;9;7;7;45;45
Romans - Bourg-de-Péage;87761650;26300;b;341640;427050;247897;309871;408945;511182;335904;419880;404736;505920;370401;463002;368948;461185
La Ménitré;87487884;49250;b;100295;125368;77182;96478;134163;167703;133806;167257;142655;178319;135524;169405;130655;163319
Rosporden;87474155;29140;b;159298;199123;112547;140684;156659;195824;141427;176783;159285;199107;152470;190587;150292;187865
La Pauline Hyères;87755314;83400;b;137394;171742;85658;107072;119168;148961;96754;120943;103908;129885;82731;103414;78343;97928
Rouffach;87182337;68250;b;182401;228001;156200;195250;208277;260347;194040;242550;198871;248589;185281;231601;182304;227881
La Teste-de-Buch;87582643;33260;b;324489;341568;256383;269877;385974;406288;336431;354138;344846;362996;321391;338306;337360;355115
Royat - Chamalières;87734038;63130;c;2179;2179;1809;1809;3335;3335;3000;3000;3512;3512;3279;3279;4031;4031
La Tour-de-Salvagny;87721548;69890;b;130526;163158;104749;130937;126387;157983;127182;158978;130905;163632;114729;143412;94063;117579
Ruffey-lès-Echirey;87713826;21200;c;14595;14595;13979;13979;11368;11368;13066;13066;15158;15158;13713;13713;17446;17446
La Tour-du-Pin;87723478;38110;b;726612;908265;592483;740604;894864;1118580;844473;1055591;862522;1078152;847323;1059154;820231;1025289
Saincaize-Meauce;87696260;58470;c;1083;1083;1543;1543;519;519;909;909;1823;1823;2364;2364;2798;2798
La Ville-Dieu-du-Temple;87611459;82290;c;18839;18839;11941;11941;11468;11468;9992;9992;10242;10242;9073;9073;11127;11127
Saint-Agne;87611301;31520;b;948587;1185734;812374;1015468;1039740;1299676;918005;1147507;1106879;1383599;1084317;1355397;1138010;1422512
Laboissière - Le Déluge;87313676;60570;c;38292;38292;25990;25990;27855;27855;25292;25292;23832;23832;21395;21395;17744;17744
Saint-Aigulin - La Roche-Chalais;87584540;17360;c;21355;21355;16612;16612;21510;21510;13155;13155;10372;10372;10736;10736;11140;11140
Lacapelle-Viescamp;87645150;15150;c;87;87;18;18;51;51;31;31;9;9;16;16;32;32
Saint-Amand-les-Eaux;87343103;59230;b;541191;676489;491357;614196;778244;972805;726583;908229;742010;927513;686246;857807;679655;849569
L'Aiguille;87592634;87110;c;2301;2301;1852;1852;3261;3261;2746;2746;4685;4685;5854;5854;5492;5492
Saint-André-de-Cubzac;87491241;33240;b;464028;580035;374173;467716;579774;724717;489496;611870;440540;550676;351784;439731;327142;408928
Lalinde;87584441;24150;c;22715;22715;14034;14034;14540;14540;22985;22985;22235;22235;20266;20266;22561;22561
Saint-André-le-Gaz;87723494;38490;b;138154;151817;105410;115836;153540;168726;140911;154847;140463;154355;131514;144521;130306;143194
Lamagistère;87611855;82360;c;18406;18406;14791;14791;16800;16800;18339;18339;23252;23252;21427;21427;20983;20983
Saint-Armel;87471318;35230;c;4317;4317;2892;2892;3120;3120;2828;2828;1909;1909;7797;7797;12016;12016
Lamarche;87144303;88320;c;352;352;456;456;505;505;242;242;530;530;1020;1020;1019;1019
Saint-Aubin - Saint-Luperce;87394213;28300;c;17062;17062;14947;14947;18501;18501;14033;14033;12809;12809;16298;16298;17792;17792
Lamotte-Beuvron;87543140;41600;b;164103;205129;138915;173643;190629;238286;180962;226203;187384;234230;191277;239096;202074;252593
Saint-Brieuc;87473009;22000;a;1187493;1484366;897060;1121325;1340194;1675242;1235284;1544106;1277265;1596582;1217822;1522278;1217908;1522386
Lamure-sur-Azergues;87721860;69870;c;20077;20077;15377;15377;25077;25077;21666;21666;22679;22679;26273;26273;32362;32362
Saint-Chély-d'Apcher;87783241;48200;c;57364;57364;51956;51956;44600;44600;37726;37726;33932;33932;36039;36039;36898;36898
Landébia;87473264;22130;c;1342;1342;1847;1847;2057;2057;3078;3078;3324;3324;3656;3656;5031;5031
Saint-Christophe-Vallon;87613257;12330;c;4231;4231;3433;3433;5509;5509;5040;5040;6159;6159;6298;6298;7273;7273
Langeac;87734319;43300;c;21742;21742;15948;15948;25507;25507;20721;20721;26246;26246;22834;22834;23675;23675
Saint-Clément - Laronxe;87141374;54950;c;23411;23411;19686;19686;27866;27866;24874;24874;25189;25189;27597;27597;33290;33290
Langogne;87734350;48300;c;25922;25922;20007;20007;28294;28294;25211;25211;30735;30735;29672;29672;26222;26222
Saint-Cloud;87382358;92210;b;5837792;5837792;4434121;4434121;9074757;9074757;8878763;8878763;8758417;8758417;8462103;8462103;8611117;8611117
Lannemezan;87671123;65300;c;82322;82322;53489;53489;67169;67169;73290;73290;95005;95005;91450;91450;105410;105410
Saint-Dié-des-Vosges;87144014;88100;b;330108;383847;247485;287773;363148;422265;330696;384530;377920;439442;383617;446066;405652;471688
Laon;87296012;2000;b;665718;792522;525446;625531;692050;823870;677171;806156;772982;920217;781255;930065;809221;963358
Sainte-Foy-la-Grande;87584193;33220;b;166353;207941;132836;166045;134092;167615;171919;214899;185582;231977;173923;217403;178669;223337
Lardy;87545160;91510;b;332153;332153;205073;205073;425172;425172;432949;432949;444831;444831;446652;446652;447043;447043
Sainte-Léocadie;87784850;66800;c;79;79;89;89;92;92;146;146;33;33;86;86;150;150
Latour-de-Carol - Enveitg;87611483;66760;c;53545;53545;37219;37219;56705;56705;47425;47425;49671;49671;48806;48806;51611;51611
Saint-Erme-Outre-et-Ramecourt;87171751;2820;c;60139;60139;50364;50364;64178;64178;72014;72014;86736;86736;85490;85490;80767;80767
Laval-de-Cère;87594796;46130;c;247;247;338;338;412;412;584;584;533;533;576;576;627;627
Saint-Étienne La Terrasse;87726158;42000;b;89370;111712;71454;89318;107576;134471;92732;115915;109293;136617;108047;135059;132894;166118
Lavaufranche;87597740;23600;c;408;408;251;251;518;518;421;421;394;394;294;294;301;301
Saint-Féliu-d'Avall;87784520;66170;c;1313;1313;932;932;0;0;215;215;490;490;553;553;630;630
Laveline-devant-Bruyères;87144162;88600;c;3270;3270;3175;3175;5376;5376;11298;11298;14006;14006;13068;13068;10706;10706
Saint-Gaudens;87611137;31800;b;205315;256644;156290;195363;199283;249104;181915;227394;264854;331067;257282;321603;275238;344047
Lavilletertre;87381202;60240;c;14420;14420;8309;8309;11988;11988;13502;13502;16843;16843;19806;19806;20267;20267
Saint-Geniès-de-Malgoirès;87775361;30190;c;59597;59597;46537;46537;93907;93907;80170;80170;75110;75110;68582;68582;66781;66781
Le Bourget;87271395;93350;b;12470323;12470323;9835861;9835861;15544841;15544841;14912785;14912785;14285674;14285674;13441953;13441953;12609210;12609210
Saint-Georges-de-Commiers;87747568;38450;c;2966;2966;1928;1928;2914;2914;2002;2002;2083;2083;1896;1896;8558;8558
Le Bourget T11;87697359;93350;b;4403085;4403085;896650;896650;2400737;2400737;2456747;2456747;1246435;1246435;0;0;0;0
Saint-Germain-des-Fossés;87732206;3260;b;123219;154024;94690;118363;128610;160763;111599;139499;127498;159373;127026;158783;126217;157771
Le Buet;87746883;74660;c;2262;2262;1890;1890;2074;2074;1642;1642;1418;1418;1404;1404;1377;1377
Saint-Germain-sur-Ille;87478016;35250;c;41967;41967;41260;41260;53527;53527;45270;45270;40523;40523;41635;41635;41942;41942
Le Burg;87594614;19240;c;854;854;275;275;217;217;412;412;465;465;243;243;517;517
Saint-Gratien;87276170;95210;b;1718129;1718129;1243189;1243189;2658478;2658478;2752077;2752077;2857361;2857361;2909515;2909515;2948463;2948463
Le Cateau-Cambrésis;87295220;59360;c;25044;25044;25360;25360;27490;27490;21113;21113;23327;23327;23445;23445;26810;26810
Saint-Hilaire - Saint-Nazaire;87761684;38330;c;63464;63464;43997;43997;73432;73432;60475;60475;73427;73427;64778;64778;57959;57959
Le Fauga;87611046;31410;c;61949;61949;47824;47824;51144;51144;52728;52728;62201;62201;53867;53867;57731;57731
Saint-Jodard;87726851;42590;c;9601;9601;8953;8953;12481;12481;11269;11269;12696;12696;13991;13991;14579;14579
Le Grand Jardin;87444323;14190;c;12044;12044;15895;15895;29111;29111;27263;27263;30546;30546;23684;23684;23324;23324
Saint-Laurent-de-la-Prée - Fouras;87485136;17450;c;25188;25188;22090;22090;33925;33925;27653;27653;37600;37600;32003;32003;31888;31888
Le Haut Banc;87316687;62250;c;1804;1804;2705;2705;4388;4388;4759;4759;6494;6494;6223;6223;6543;6543
Saint-Léonard-de-Noblat;87592071;87400;c;26360;26360;23970;23970;36509;36509;37179;37179;43087;43087;44698;44698;44277;44277
Le Havre;87413013;76600;a;1373175;1716469;1170571;1463213;1846292;2307865;1651915;2064894;1742027;2177533;1621008;2026260;1749706;2187132
Saint-Léon-sur-l'Isle;87595264;24110;c;18035;18035;16347;16347;16631;16631;15292;15292;16445;16445;15771;15771;16999;16999
Le Mans;87396002;72000;a;3813805;5867393;2781897;4279841;4945609;7608629;4916622;7564034;5314986;8176901;5143229;7912660;5282858;8127475
Saint-Leu-d'Esserent;87276402;60340;c;103178;103178;64102;64102;117808;117808;118327;118327;127725;127725;126491;126491;129788;129788
Le Méridien La Ferrière;87721522;69260;b;122081;152601;124412;155515;155019;193773;148699;185874;150003;187504;135763;169704;124009;155012
Saint-Leu-la-Forêt;87276600;95320;b;1845506;1845506;588790;588790;2353567;2353567;2395427;2395427;2343136;2343136;2277835;2277835;2203356;2203356
Le Perray-en-Yvelines;87393298;78610;b;514506;514506;354142;354142;715156;715156;733118;733118;754939;754939;761212;761212;764750;764750
Saint-Lô;87447003;50000;b;177778;265341;128874;192350;209406;312547;186638;278565;212049;316491;206774;308618;219298;327311
Le Plessis Chenet;87681627;91830;c;36744;36744;10114;10114;40266;40266;41814;41814;43875;43875;45020;45020;45980;45980
Saint-Louis les Aygalades;87751644;13000;c;0;0;0;0;0;0;0;0;0;0;16;16;30;30
Le Puy-en-Velay;87734699;43000;b;235197;293996;167756;209696;272218;340273;232241;290301;206755;258444;238506;298132;251698;314622
Saint-Mariens - Saint-Yzan;87491209;33620;b;141111;176389;106345;132931;153384;191730;133983;167479;127040;158800;116995;146244;115857;144821
Le Raincy - Villemomble - Montfermeil;87113472;93340;b;5784022;5784022;4111461;4111461;9515448;9515448;9505714;9505714;9472141;9472141;9284783;9284783;9054018;9054018
Saint-Martin d'Étampes;87545350;91150;b;477707;477707;282784;282784;597764;597764;606163;606163;618898;618898;618353;618353;615262;615262
Le Theil-de-Bretagne;87471342;35240;c;14312;14312;12032;12032;12541;12541;15678;15678;16854;16854;25002;25002;29396;29396
Saint-Michel Notre-Dame;87547315;75005;b;22555924;22555924;6469340;6469340;27558327;27558327;29157305;29157305;30766769;30766769;31920430;31920430;32959046;32959046
Le Trayas;87757575;83700;c;10088;10088;6186;6186;7145;7145;3821;3821;4583;4583;5471;5471;6564;6564
