Nom de la gare;Code UIC;Code postal;Segmentation DRG;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015
Lamothe-Montravel;87584151;24230;c;7936;7936;4349;4349;2920;2920;3147;3147;5069;5069;6315;6315;6628;6628
Landerneau;87474239;29800;b;564950;620824;444597;488568;636579;699537;567152;623244;584995;642852;589344;647631;595751;654671
Laneuveville-devant-Nancy;87141093;54410;c;7710;7710;6555;6555;10282;10282;9556;9556;8653;8653;8719;8719;9548;9548
Langres;87142091;52200;c;52971;52971;46127;46127;81529;81529;76980;76980;83598;83598;85182;85182;90181;90181
Lardenne;87611939;31000;c;10203;10203;10484;10484;11783;11783;14783;14783;17190;17190;16736;16736;17025;17025
L'Argentière Les Écrins;87763557;5120;b;35493;44366;29970;37463;45379;56723;40298;50373;48578;60723;51154;63943;53159;66449
L'Ariane La Trinité;87751529;6340;c;23030;23030;15559;15559;31204;31204;23898;23898;23129;23129;17609;17609;14802;14802
Lauterbourg;87212464;67630;c;17697;17697;15414;15414;25742;25742;21638;21638;24950;24950;22610;22610;23136;23136
Laval;87478404;53000;a;1117818;1490102;830231;1106735;1381878;1842106;1340455;1786886;1318250;1757286;1250032;1666349;1248381;1664147
Le Blanc-Mesnil;87271478;93150;b;3044176;3044176;2040928;2040928;4052899;4052899;4006261;4006261;3953284;3953284;3823291;3823291;3698307;3698307
Le Bosquet;87757757;6400;c;95809;95809;52529;52529;85092;85092;52143;52143;6957;6957;43474;43474;50071;50071
Le Breuil-sur-Couze;87734228;63340;c;31076;31076;24702;24702;28746;28746;20625;20625;23247;23247;21098;21098;20173;20173
Le Chambon-Feugerolles;87726711;42500;c;24405;24405;16223;16223;34013;34013;28741;28741;32783;32783;27640;27640;33520;33520
Le Chénay Gagny;87113522;93220;b;2851761;2851761;1562549;1562549;3268600;3268600;3277376;3277376;3294408;3294408;3248342;3248342;3187642;3187642
Le Mans hôpital-université;87000032;72000;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Le Molay-Littry;87444083;14330;c;20340;20340;16827;16827;21046;21046;19002;19002;21613;21613;23463;23463;23771;23771
Le Pénity;87473553;22850;c;4820;4820;3235;3235;2752;2752;3098;3098;3028;3028;2742;2742;2809;2809
Le Poirier Université;87343210;59125;b;68628;85785;74327;92909;176451;220564;158245;197807;155320;194150;134365;167957;146596;183246
Le Soler;87784512;66270;c;2655;2655;1320;1320;17;17;767;767;2317;2317;2229;2229;3056;3056
Le Vert de Maisons;87681247;94700;b;804485;804485;969205;969205;3062538;3062538;3158156;3158156;3254355;3254355;3293224;3293224;3318507;3318507
Les Abrets - Fitilieu;87741496;38490;c;4491;4491;2818;2818;5284;5284;4893;4893;4302;4302;4259;4259;5059;5059
Les Aubrais;87543017;45400;a;1113331;1391664;888807;1111009;1592924;1991155;1585092;1981365;1666961;2083701;1620529;2025662;1694525;2118157
Les Bardys;87592048;87480;c;3105;3105;929;929;1653;1653;4371;4371;5833;5833;4974;4974;5023;5023
Les Clairières de Verneuil;87386664;78480;b;368213;368213;194818;194818;375772;375772;385612;385612;398401;398401;402805;402805;405538;405538
Les Deux Jumeaux;87677104;64700;c;38983;38983;23722;23722;32774;32774;21101;21101;24654;24654;21850;21850;22642;22642
Les Flachères;87721704;69260;c;1562;1562;1875;1875;1859;1859;1432;1432;2175;2175;1560;1560;1893;1893
Les Mais;87473587;22160;c;25;25;476;476;840;840;423;423;597;597;314;314;280;280
Les Martres-de-Veyre;87734178;63730;b;132723;165904;127362;159203;151831;189789;147413;184266;164243;205303;165126;206407;167838;209797
Les Perrières;87691600;58640;c;521;521;487;487;1831;1831;746;746;579;579;1070;1070;1717;1717
Les Vallées;87386300;92250;b;4068322;4068322;2124124;2124124;4283672;4283672;4280459;4280459;4265730;4265730;4185281;4185281;4079450;4079450
Les Versannes;87595702;24330;c;1217;1217;813;813;1600;1600;1699;1699;2885;2885;2641;2641;1688;1688
Lesparre-Médoc;87581314;33340;c;106889;106889;74228;74228;107129;107129;86740;86740;81733;81733;64273;64273;70651;70651
Lesquin;87286849;59810;b;116200;145250;102760;128450;181001;226251;167601;209501;187268;234085;173908;217385;175318;219147
Liart;87172544;8290;c;288;288;203;203;274;274;24;24;10;10;7;7;22;22
Lille CHR;87109306;59000;b;209963;262454;192628;240785;287018;358773;239606;299508;239655;299569;219877;274847;216828;271035
Lillers;87342238;62190;b;143653;179567;124271;155339;199562;249452;210324;262906;252496;315620;254422;318027;270760;338450
Limeyrat;87595553;24210;c;0;0;542;542;1221;1221;58;58;283;283;935;935;674;674
Limoux Flassian;87598755;11300;c;7261;7261;4693;4693;3796;3796;1621;1621;2020;2020;2040;2040;4224;4224
Lisieux;87444265;14100;a;823348;1029186;662324;827905;1152606;1440757;1070435;1338043;1154817;1443522;1105959;1382449;1134152;1417690
L'Isle-sur-le-Doubs;87184572;25250;c;96931;96931;86730;86730;106385;106385;87144;87144;89119;89119;83533;83533;92421;92421
Lisle-sur-Tarn;87615310;81310;c;80808;80808;61130;61130;75711;75711;64558;64558;83085;83085;78875;78875;75961;75961
L'Isthme;87476275;56170;c;1585;1585;992;992;2014;2014;315;315;563;563;1762;1762;2352;2352
Liverdun;87141069;54460;c;24322;24322;21124;21124;29876;29876;27533;27533;24551;24551;20434;20434;18548;18548
Loivre;87171728;51220;c;33768;33768;31268;31268;26527;26527;27644;27644;32324;32324;30161;30161;30100;30100
Longages - Noé;87611053;31410;b;100384;125480;77042;96302;102160;127700;85589;106986;105821;132277;99801;124752;103280;129100
Longecourt-en-Plaine;87712620;21230;c;2043;2043;2912;2912;4425;4425;5133;5133;7745;7745;6576;6576;6444;6444
Longjumeau;87393611;91160;b;129737;129737;136777;136777;480402;480402;504031;504031;532378;532378;552047;552047;568054;568054
Longueil-Sainte-Marie;87276303;60126;c;34405;34405;24630;24630;40050;40050;36959;36959;45314;45314;46988;46988;43509;43509
Longuerue - Vieux-Manoir;87411447;76750;c;8076;8076;7437;7437;11158;11158;11120;11120;9873;9873;11893;11893;13770;13770
Lons-le-Saunier;87718239;39000;b;318419;398023;255434;319292;339975;424969;327804;409755;371572;464465;343976;429971;354204;442755
Loriol-sur-Drôme;87761262;26270;c;56630;56630;39667;39667;62121;62121;45255;45255;51460;51460;47475;47475;55570;55570
Loures - Barbazan;87611178;65370;c;895;895;833;833;1329;1329;1101;1101;1235;1235;1296;1296;1389;1389
Louroux-de-Bouble;87641050;3330;c;2003;2003;1987;1987;2647;2647;1573;1573;1693;1693;3188;3188;3372;3372
Luc-en-Diois;87761874;26310;c;5520;5520;5810;5810;8242;8242;6384;6384;7456;7456;6251;6251;5830;5830
Ludres;87141481;54710;c;16503;16503;14306;14306;22919;22919;17438;17438;16244;16244;15686;15686;15639;15639
Lunel-Viel;87773424;34400;c;10535;10535;4838;4838;5517;5517;4499;4499;6012;6012;7438;7438;9316;9316
Lusignan;87485540;86600;c;37893;37893;31615;31615;51159;51159;42193;42193;45138;45138;42441;42441;44928;44928
Lus-la-Croix-Haute;87747667;26620;c;69;69;3261;3261;5455;5455;4526;4526;5880;5880;5329;5329;5950;5950
Lussac-les-Châteaux;87575845;86320;c;22124;22124;17096;17096;22309;22309;19520;19520;26226;26226;26702;26702;24970;24970
Luttenbach-près-Munster;87182543;68140;c;8902;8902;6372;6372;10194;10194;10932;10932;9463;9463;8825;8825;7398;7398
Lutterbach;87182667;68460;c;44604;44604;39886;39886;49250;49250;45475;45475;47464;47464;51734;51734;65370;65370
Luxé;87583823;16230;c;23429;23429;18100;18100;23325;23325;21635;21635;27468;27468;24996;24996;22633;22633
Lyon Gorge de Loup;87721175;69009;b;556769;695961;456395;570494;698192;872740;646409;808011;669745;837181;567666;709583;519710;649637
Maintenon;87394130;28130;b;1080974;1351217;920336;1150420;1232897;1541122;1186265;1482831;1209835;1512294;1207819;1509774;1216557;1520697
Maisons-Laffitte;87386425;78600;b;5790062;5790062;4048033;4048033;8594609;8594609;8358173;8358173;8149225;8149225;7842005;7842005;7549498;7549498
Maisse;87681486;91720;b;179356;179356;84596;84596;167203;167203;180378;180378;195208;195208;207032;207032;219092;219092
Marbache;87141796;54820;c;19328;19328;15271;15271;19855;19855;17978;17978;15930;15930;14137;14137;16503;16503
Marcelcave;87313445;80720;c;46928;46928;43568;43568;50551;50551;45126;45126;41982;41982;41023;41023;40878;40878
Marchezais - Broué;87393470;28410;b;128812;161015;115870;144837;204645;255807;207254;259068;231517;289396;245220;306526;291724;364655
Mareil-Marly;87382812;78750;c;0;0;0;0;53506;53506;58655;58655;64132;64132;69257;69257;74243;74243
Mareil-sur-Mauldre;87381715;78124;c;76033;76033;39174;39174;85503;85503;82238;82238;79678;79678;75375;75375;71077;71077
Marigny;87485334;79360;c;9732;9732;8587;8587;7067;7067;5830;5830;7726;7726;7893;7893;9236;9236
Marles-en-Brie;87116228;77610;b;336427;336427;171958;171958;421062;421062;403995;403995;392981;392981;373661;373661;354368;354368
Maromme;87411249;76150;c;69644;69644;68052;68052;99415;99415;92979;92979;95966;95966;89439;89439;108387;108387
Marquillies;87342469;59274;c;8763;8763;8753;8753;18664;18664;16557;16557;17314;17314;19534;19534;20913;20913
Marquise - Rinxent;87317339;62250;b;123720;154650;105312;131640;137867;172334;139133;173916;160432;200540;154999;193749;170801;213501
Marseillan Plage;87781294;34340;c;11713;11713;8269;8269;10913;10913;9131;9131;8290;8290;6885;6885;7208;7208
Marseille-en-Beauvaisis;87313726;60860;c;41085;41085;27336;27336;28586;28586;30307;30307;34135;34135;34684;34684;34494;34494
Martres-Tolosane;87611087;31220;c;31815;31815;24473;24473;26839;26839;18094;18094;22694;22694;24474;24474;24089;24089
Marvejols;87783282;48100;c;9613;9613;9125;9125;15747;15747;21787;21787;25742;25742;29945;29945;33040;33040
Maule;87381723;78580;b;281096;281096;160657;160657;305405;305405;303254;303254;302193;302193;295486;295486;287328;287328
Mauzens-et-Miremont;87595728;24260;c;1;1;199;199;554;554;421;421;334;334;418;418;804;804
Mehun-sur-Yèvre;87576116;18500;c;48108;48108;29672;29672;46896;46896;45373;45373;51129;51129;50612;50612;62482;62482
Ménil Flin;87141390;54200;c;1341;1341;936;936;1094;1094;1567;1567;2643;2643;2072;2072;2019;2019
Mennecy;87681411;91540;b;1164793;1164793;367289;367289;965477;965477;1026207;1026207;1095707;1095707;1146510;1146510;1194181;1194181
Menton Garavan;87756494;6500;b;156927;196159;107569;134461;237138;296422;196796;245995;230197;287747;210608;263260;211987;264983
Mérenvielle;87611814;31530;c;42836;42836;41922;41922;51200;51200;61334;61334;73088;73088;63399;63399;54960;54960
Mériel;87276675;95630;b;379076;379076;150619;150619;394514;394514;378755;378755;369878;369878;355864;355864;341878;341878
Metz;87192039;57000;a;5959695;8637240;4687126;6792936;7600267;11014880;7035904;10196963;7327159;10619071;6999919;10144811;7121214;10320600
Meudon;87393108;92190;b;842580;842580;510325;510325;1111888;1111888;1163411;1163411;1215518;1215518;1248717;1248717;1275747;1275747
Meymac;87594275;19250;c;18401;18401;15341;15341;21029;21029;17328;17328;18350;18350;18281;18281;21825;21825
Mézidon-Canon;87444208;14270;b;249184;256890;210231;216733;298881;308124;273594;282056;309501;319073;310601;320207;318023;327859
Mignaloux - Nouaillé;87575704;86550;c;2049;2049;1869;1869;2661;2661;1697;1697;2271;2271;3942;3942;4927;4927
Milhac-d'Auberoche;87595538;24330;c;0;0;61;61;436;436;739;739;1010;1010;678;678;209;209
Millas;87784546;66170;c;3392;3392;1195;1195;286;286;368;368;508;508;322;322;364;364
Millau;87783001;12100;c;30413;30413;30177;30177;40223;40223;50825;50825;70869;70869;71789;71789;80605;80605
Mionnay;87723726;1390;c;63995;63995;54101;54101;98182;98182;90023;90023;96332;96332;101028;101028;100975;100975
Miramas;87753004;13140;b;551184;688980;423780;529726;668063;835079;617949;772436;666781;833476;625844;782305;636861;796076
Miribel;87723528;1700;b;219382;230928;193554;203741;305842;321939;274363;288803;284847;299839;270932;285192;283043;297940
Monistrol-d'Allier;87734335;43580;c;2214;2214;1472;1472;1776;1776;1382;1382;1960;1960;1617;1617;470;470
Monnaie;87574681;37380;c;26816;26816;18587;18587;29171;29171;32319;32319;31161;31161;29767;29767;28395;28395
Montaignac-Saint-Hippolyte;87594135;19300;c;1743;1743;1507;1507;1082;1082;773;773;992;992;1050;1050;759;759
Montargis;87684001;45200;b;1230767;1538459;1002392;1252990;1717950;2147437;1642327;2052909;1673680;2092101;1588939;1986174;1588011;1985014
Montbarrey;87718866;39380;c;383;383;343;343;811;811;284;284;325;325;517;517;561;561
Mont-de-Marsan;87671016;40000;b;341017;426272;273230;341538;355435;444293;316906;396133;317866;397333;275100;343875;280991;351239
Montdidier;87313346;80500;b;148986;186232;116594;145743;158727;198408;156750;195937;163924;204905;161941;202426;167397;209246
Monteux;87765818;84170;b;76171;95214;51419;64274;106553;133192;107288;134110;126879;158599;86965;108706;45716;57146
Montfavet;87765412;84140;c;19097;19097;13386;13386;24245;24245;23635;23635;23364;23364;20494;20494;21094;21094
Montferrand - Thoraise;87718106;25320;c;1544;1544;2317;2317;2778;2778;2320;2320;2582;2582;2479;2479;2296;2296
Montgeron - Crosne;87682104;91230;b;2431317;2431317;1158916;1158916;4074620;4074620;4167597;4167597;4287891;4287891;4328950;4328950;4348527;4348527
Montigny - Beauchamp;87276089;95250;b;4437125;4437125;2474993;2474993;4906007;4906007;5044611;5044611;5036237;5036237;5024855;5024855;4996765;4996765
Montigny-en-Ostrevent;87345306;59182;b;104126;130158;95958;119947;170115;212644;161704;202130;177849;222311;175773;219716;189412;236765
Montluçon Rimard;87323675;3100;c;10199;10199;7320;7320;7283;7283;10941;10941;13749;13749;11342;11342;8532;8532
Montmédy;87194209;55600;c;2984;2984;2001;2001;5546;5546;4739;4739;7056;7056;8207;8207;9503;9503
Montmélian;87741181;73800;b;430951;538689;338293;422866;509833;637291;457599;571999;492212;615265;458017;572521;470609;588262
Montoir-de-Bretagne;87481713;44550;c;27253;27253;22570;22570;37489;37489;21635;21635;13949;13949;12574;12574;11588;11588
Montpaon;87781534;12540;c;180;180;115;115;268;268;192;192;254;254;329;329;530;530
Montpon-Ménestérol;87595322;24700;b;139080;173851;110935;138669;162574;203218;128349;160437;139407;174259;137303;171629;134378;167973
Montrond-les-Bains;87726885;42210;b;82426;89594;70602;76742;119711;130120;100717;109475;105199;114347;95908;104248;105934;115146
Moosch;87182592;68690;c;35531;35531;34358;34358;41079;41079;39646;39646;38416;38416;33327;33327;36129;36129
Morannes;87484170;49640;c;26525;26525;19077;19077;42135;42135;49119;49119;49926;49926;47906;47906;45928;45928
Moreuil;87313320;80110;b;150176;187721;120466;150582;153728;192160;143660;179575;137375;171719;141593;176991;146451;183064
Mouans-Sartoux;87401323;6370;b;143323;179154;91143;113928;165696;207120;116753;145941;41490;51863;120438;150548;126323;157904
Moulin Galant;87681403;91100;b;459871;459871;220315;220315;633274;633274;685764;685764;747525;747525;798564;798564;849126;849126
Moult - Argences;87444190;14370;c;46947;46947;42302;42302;65037;65037;52825;52825;54219;54219;50359;50359;52358;52358
Mourmelon-le-Petit;87174409;51400;c;58985;58985;54197;54197;79829;79829;72417;72417;79372;79372;72917;72917;76858;76858
Mouroux;87116285;77120;b;89278;89278;59769;59769;112857;112857;115847;115847;120331;120331;122066;122066;123599;123599
Moyeuvre-Grande;87191718;57250;c;30889;30889;21202;21202;33122;33122;27761;27761;27842;27842;26040;26040;28049;28049
Munchhausen;87212449;67470;c;2949;2949;2518;2518;4481;4481;2943;2943;2877;2877;3908;3908;3784;3784
Mundolsheim;87212100;67450;c;53029;53029;41411;41411;69281;69281;65929;65929;68210;68210;79492;79492;73530;73530
Musée d'Orsay;87547307;75007;b;3232109;3232109;2070490;2070490;4739380;4739380;4970262;4970262;5213150;5213150;5371774;5371774;5514887;5514887
Nançois - Tronville;87175067;55500;c;891;891;664;664;866;866;858;858;892;892;855;855;1434;1434
Nancy;87141002;54000;a;6402271;9700410;5160489;7818924;8098462;12270397;7582349;11488407;7891228;11956406;7633063;11565247;7918088;11997104
Nanterre Université;87386318;92000;b;6434071;6434071;95902;95902;6286199;6286199;6151526;6151526;6084600;6084600;5890393;5890393;5665620;5665620
Nantes;87481002;44041;a;11031867;15537840;8047221;11334114;12961997;18256335;11811037;16635263;11877861;16729383;11048763;15561639;10747895;15137880
Naucelle;87615732;12800;c;18026;18026;15936;15936;18942;18942;13756;13756;15434;15434;14811;14811;16082;16082
Neussargues;87645507;15170;c;29274;29274;19089;19089;23995;23995;22999;22999;27451;27451;25844;25844;24880;24880
Neuvic;87595272;24190;c;33588;33588;31255;31255;33360;33360;28205;28205;34788;34788;34594;34594;35120;35120
Nice Pont Michel;87590299;6088;c;29023;29023;13946;13946;26770;26770;20167;20167;26358;26358;22258;22258;17235;17235
Nieppe;87287151;59850;c;54514;54514;53280;53280;77174;77174;84376;84376;87413;87413;85623;85623;80779;80779
Nieul;87592410;87510;c;1964;1964;1496;1496;2413;2413;1458;1458;2687;2687;4450;4450;4756;4756
Nogent-le-Rotrou;87394296;28400;b;481269;559615;376474;437760;477607;555357;411036;477949;432215;502575;429097;498950;446280;518930
Noisy-le-Roi;87393876;78590;b;0;0;0;0;237626;237626;243194;243194;249046;249046;251371;251371;253878;253878
Noisy-le-Sec;87113217;93130;b;12963317;12963317;8762930;8762930;17495563;17495563;17492523;17492523;17446860;17446860;17100556;17100556;16693722;16693722
Nonancourt;87393553;27320;c;6321;6321;5516;5516;10375;10375;9831;9831;10910;10910;13214;13214;14725;14725
Nortkerque;87287292;62370;c;3145;3145;2048;2048;2870;2870;2137;2137;2398;2398;2296;2296;2749;2749
Nort-sur-Erdre;87481598;44390;b;229927;287409;198720;248401;347537;434422;337854;422317;335380;419225;298998;373748;265831;332289
Notre-Dame de Briançon;87741694;73260;c;6842;6842;3517;3517;5366;5366;4143;4143;5160;5160;5457;5457;5632;5632
Novéant-sur-Moselle;87192427;57680;b;121821;152276;99185;123981;126279;157849;110310;137888;118605;148257;118501;148127;121960;152450
Nozières - Brignon;87775353;30190;c;17501;17501;10869;10869;12945;12945;12094;12094;10497;10497;8892;8892;7330;7330
Obermodern-Zutzendorf;87213165;67330;b;176160;220200;141240;176550;186710;233388;195390;244237;196648;245810;196029;245036;194131;242664
Objat;87594630;19130;c;10089;10089;5336;5336;7364;7364;4329;4329;6852;6852;5695;5695;7532;7532
Ogeu-les-Bains;87672709;64680;c;8593;8593;6253;6253;9014;9014;7030;7030;8225;8225;7214;7214;7582;7582
Orgerus - Béhoust;87393447;78910;b;156359;156359;99230;99230;223446;223446;223646;223646;225459;225459;223046;223046;219288;219288
Origny-en-Thiérache;87296145;2550;c;9079;9079;8383;8383;5564;5564;7553;7553;11276;11276;14697;14697;14695;14695
Orry-la-Ville - Coye;87276279;60560;b;1591184;1767983;1302429;1447144;2147579;2386199;1817029;2018921;1751171;1945746;1556760;1729733;1451908;1613231
Ossès - Saint-Martin-d'Arrossa;87673707;64780;c;5413;5413;3342;3342;3406;3406;1979;1979;2775;2775;2757;2757;1303;1303
Ostricourt;87345249;59162;b;145064;181330;123204;154006;171215;214019;160372;200465;166647;208308;159284;199105;159923;199904
Oulchy - Breny;87116699;2210;c;0;0;0;0;812;812;1376;1376;1052;1052;2251;2251;2813;2813
Oullins;87722207;69600;b;162086;202607;114348;142935;164130;205162;146425;183032;165780;207225;136158;170197;129690;162112
Oyonnax;87743534;1100;c;108542;108542;81885;81885;102677;102677;89149;89149;93231;93231;98712;98712;103838;103838
Pagny-sur-Meuse;87175828;55190;c;4676;4676;3509;3509;4708;4708;3520;3520;2801;2801;2931;2931;3962;3962
Pagny-sur-Moselle;87192468;54530;b;277764;295494;249760;265702;350240;372596;337660;359213;308256;327932;312330;332266;345327;367370
Paris Bercy Bourgogne - Pays d'Auvergne;87686667;75012;a;3347763;3474572;2498330;2592964;4318464;4482042;3983108;4133983;4003278;4154918;3702383;3842624;3823448;3968276
Phalempin;87286500;59133;b;198097;247621;205214;256518;331190;413987;304017;380021;305952;382441;273362;341703;283486;354358
Pihen-lès-Guînes;87316679;62340;c;102;102;429;429;1316;1316;1461;1461;1554;1554;2547;2547;2366;2366
Pins-Justaret;87618116;31860;b;116372;145465;88021;110027;125313;156641;139920;174900;180388;225485;188800;236000;201565;251956
Pleyber-Christ;87474320;29410;c;3102;3102;2213;2213;3067;3067;1591;1591;1793;1793;2502;2502;1978;1978
Plouigneau;87474411;29610;c;1405;1405;841;841;1301;1301;907;907;1096;1096;1322;1322;1204;1204
Podensac;87582734;33720;c;82552;82552;71428;71428;89635;89635;73778;73778;67707;67707;65233;65233;69241;69241
Pointe de Grave;87581397;33780;c;1723;1723;1720;1720;1599;1599;1161;1161;877;877;832;832;534;534
Pompey;87141788;54340;c;60106;60106;48312;48312;77858;77858;68591;68591;56376;56376;53234;53234;60930;60930
Pont de la Deûle;87345207;59128;c;17475;17475;13177;13177;19152;19152;17724;17724;19305;19305;19886;19886;23457;23457
Pont du Garigliano - Hôpital Européen Georges Pompidou;87393322;75015;b;1568414;1568414;1365313;1365313;2663328;2663328;2775337;2775337;2929009;2929009;3017162;3017162;3094718;3094718
Pont Petit;87276154;95310;b;257836;257836;116823;116823;300226;300226;328806;328806;295774;295774;274583;274583;253752;253752
Pontanevaux;87725721;71570;c;30793;30793;25503;25503;37095;37095;32343;32343;36465;36465;35218;35218;36131;36131
Pontchâteau;87481846;44160;b;143556;179445;105595;131994;202871;253589;212620;265775;226241;282801;233789;292236;234195;292744
Pont-Hébert;87447185;50880;c;0;0;0;0;1;1;286;286;455;455;340;340;326;326
Pontmort;87734103;63200;c;16334;16334;12565;12565;17357;17357;16232;16232;21981;21981;24978;24978;25693;25693
Pontorson - Mont-Saint-Michel;87478263;50170;c;27474;27474;17813;17813;16749;16749;17539;17539;21439;21439;21421;21421;24136;24136
Pont-Saint-Esprit;87764555;30130;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pont-sur-Yonne;87683136;89140;b;88156;110195;72818;91022;108606;135757;84924;106156;102634;128293;103470;129337;118693;148366
Porte de Clichy;87111278;75017;b;2502513;2502513;1318285;1318285;3762544;3762544;3928691;3928691;4126841;4126841;4245846;4245846;4347686;4347686
Portet Saint-Simon;87611400;31120;b;278279;347849;227142;283928;293156;366445;237245;296556;310530;388162;305655;382069;344701;430877
Portets;87582718;33640;c;103146;103146;86776;86776;121322;121322;101476;101476;91047;91047;80217;80217;80757;80757
Pougny - Chancy;87745380;1550;c;4053;4053;4243;4243;6067;6067;5158;5158;3988;3988;3502;3502;2128;2128
Poussay;87144204;88500;c;0;0;0;0;0;0;0;0;12;12;307;307;252;252
Presles Courcelles;87276501;95590;b;286464;286464;141462;141462;334990;334990;340453;340453;338305;338305;323731;323731;308675;308675
Prin-Deyrançon;87485268;79210;c;7113;7113;7079;7079;4301;4301;3786;3786;5675;5675;6421;6421;7254;7254
Prunay;87171629;51360;c;3964;3964;2421;2421;1897;1897;2214;2214;5449;5449;10407;10407;15516;15516
Puget-Ville;87755363;83390;c;21907;21907;14026;14026;17979;17979;16446;16446;18586;18586;16824;16824;15366;15366
Puteaux;87382382;92800;b;2434882;2434882;1740529;1740529;4036184;4036184;3737930;3737930;3491920;3491920;3201842;3201842;3058734;3058734
Questembert;87476671;56230;b;187983;234978;122833;153542;161690;202112;130897;163621;119824;149780;107051;133813;110266;137833
Quimper;87474098;29000;a;1076265;1345332;745934;932417;1058048;1322560;951271;1189089;949964;1187455;880602;1100752;918186;1147732
Rai - Aube;87444620;61270;c;0;0;0;0;5;5;0;0;25;25;29;29;34;34
Rassuen;87753426;13270;c;3925;3925;1340;1340;3035;3035;2946;2946;4220;4220;3299;3299;3614;3614
Réaumont - Saint-Cassien;87747279;38140;b;113664;142080;90386;112982;132085;165107;114172;142715;107777;134722;97487;121859;103692;129615
Réding;87215079;57444;c;51178;51178;44147;44147;59618;59618;50947;50947;43273;43273;33727;33727;33952;33952
Redon;87471300;35600;b;669259;836574;454586;568232;740222;925278;723108;903885;802461;1003076;817109;1021386;811897;1014871
Reignac-sur-Indre;87571455;37310;c;18956;18956;23223;23223;35201;35201;42591;42591;43920;43920;48974;48974;49890;49890
Remy;87313403;60190;c;9433;9433;7776;7776;8537;8537;6632;6632;8298;8298;7786;7786;7048;7048
Renescure;87281451;59173;c;14664;14664;15567;15567;27002;27002;22340;22340;21080;21080;21329;21329;20960;20960
Retiers;87471359;35240;c;34477;34477;29121;29121;38366;38366;38574;38574;43416;43416;75620;75620;89786;89786
Reuilly;87597039;36260;c;25018;25018;18104;18104;21607;21607;18355;18355;18483;18483;18211;18211;20358;20358
Ria-Sirach;87784660;66500;c;644;644;96;96;788;788;439;439;115;115;74;74;269;269
Riedseltz;87213462;67120;c;7785;7785;6820;6820;12349;12349;11988;11988;9998;9998;7861;7861;6855;6855
Rieux - Angicourt;87276352;60870;b;112171;140214;96796;120995;131928;164911;128734;160918;144669;180836;147764;184705;152857;191072
Rocamadour - Padirac;87613042;46500;c;7404;7404;5917;5917;6702;6702;5726;5726;7512;7512;7031;7031;6896;6896
Roche-lez-Beaupré;87718403;25220;c;5173;5173;4621;4621;7487;7487;6756;6756;7336;7336;6608;6608;6423;6423
Roissy-en-Brie;87116038;77680;b;2912276;2912276;1913470;1913470;3304512;3304512;3326124;3326124;3354377;3354377;3322409;3322409;3272883;3272883
Rolleville;87413740;76133;c;204;204;162;162;1279;1279;1263;1263;1980;1980;1795;1795;910;910
Ronchamp;87185314;70250;c;41293;41293;36900;36900;41658;41658;30923;30923;31536;31536;31724;31724;33001;33001
Roppenheim;87212415;67930;c;10661;10661;9793;9793;12481;12481;10372;10372;12334;12334;14099;14099;15631;15631
Roscoff;87474635;29680;c;8879;8879;6737;6737;15774;15774;28468;28468;42497;42497;31926;31926;30629;30629
Rosult;87286567;59230;c;53234;53234;45264;45264;68125;68125;63529;63529;67731;67731;61394;61394;64914;64914
Rougemont Chanteloup;87431791;93270;b;1316379;1316379;2664824;2664824;1916809;1916809;1933062;1933062;1935774;1935774;1901525;1901525;1870285;1870285
Route de Launaguet;87611954;31140;c;298;298;196;196;0;0;0;0;268;268;255;255;29;29
Royan;87491803;17200;b;211716;264645;158081;197601;230667;288334;182523;228154;223983;279978;225274;281593;238199;297748
Rue;87317404;80120;b;119209;149011;82576;103220;105527;131909;99067;123834;111598;139498;104876;131095;112566;140708
Rully;87712026;71150;c;20718;20718;29406;29406;28812;28812;24595;24595;23776;23776;23150;23150;24306;24306
Ruminghem;87287300;62370;c;27757;27757;26271;26271;30921;30921;27684;27684;24848;24848;24239;24239;24833;24833
Saales;87214783;67420;c;36880;36880;30105;30105;38779;38779;33627;33627;34911;34911;31977;31977;31968;31968
Sablé-sur-Sarthe;87396408;72300;b;455085;568856;330700;413375;584838;731047;555714;694643;566751;708439;546858;683573;542337;677921
Sain-Bel;87721605;69210;b;172135;215169;145241;181551;207646;259558;176680;220851;178141;222676;160643;200804;152307;190384
Saint-Agnan;87694851;71160;c;707;707;1506;1506;1410;1410;933;933;1206;1206;966;966;1128;1128
Saint-Amour;87718296;39160;c;47362;47362;33285;33285;51071;51071;43525;43525;45116;45116;39553;39553;40849;40849
Saint-Antoine-de-Breuilh;87584201;24230;c;5358;5358;2807;2807;3149;3149;4979;4979;7437;7437;9590;9590;13132;13132
Saint-Ay;87574129;45130;c;14189;14189;9396;9396;19804;19804;19727;19727;17741;17741;19614;19614;21231;21231
