stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopPoint:OCECar TER-87214551,Dachstein,,48.5427270,7.53269400,,,0,StopArea:OCE87214551
StopPoint:OCETrain TER-87214551,Dachstein,,48.5427270,7.53269400,,,0,StopArea:OCE87214551
StopArea:OCE87214577,Molsheim,,48.5371510,7.50028400,,,1,
StopPoint:OCECar TER-87214577,Molsheim,,48.5371510,7.50028400,,,0,StopArea:OCE87214577
StopPoint:OCETrain TER-87214577,Molsheim,,48.5371510,7.50028400,,,0,StopArea:OCE87214577
StopArea:OCE87214585,Mutzig,,48.5336560,7.46234700,,,1,
StopPoint:OCETrain TER-87214585,Mutzig,,48.5336560,7.46234700,,,0,StopArea:OCE87214585
StopArea:OCE87214593,Gresswiller,,48.5329980,7.42465000,,,1,
StopPoint:OCETrain TER-87214593,Gresswiller,,48.5329980,7.42465000,,,0,StopArea:OCE87214593
StopArea:OCE87214627,Heiligenberg - Mollkirch,,48.5274700,7.38157600,,,1,
StopPoint:OCECar TER-87214627,Heiligenberg - Mollkirch,,48.5274700,7.38157600,,,0,StopArea:OCE87214627
StopPoint:OCETrain TER-87214627,Heiligenberg - Mollkirch,,48.5274700,7.38157600,,,0,StopArea:OCE87214627
StopArea:OCE87214635,Urmatt,,48.5259840,7.33829900,,,1,
StopPoint:OCECar TER-87214635,Urmatt,,48.5259840,7.33829900,,,0,StopArea:OCE87214635
StopPoint:OCETrain TER-87214635,Urmatt,,48.5259840,7.33829900,,,0,StopArea:OCE87214635
StopArea:OCE87214643,Mullerhof,,48.5246390,7.31269800,,,1,
StopPoint:OCETrain TER-87214643,Mullerhof,,48.5246390,7.31269800,,,0,StopArea:OCE87214643
StopArea:OCE87214650,Lutzelhouse,,48.5179590,7.29383700,,,1,
StopPoint:OCETrain TER-87214650,Lutzelhouse,,48.5179590,7.29383700,,,0,StopArea:OCE87214650
StopArea:OCE87214676,Wisches,,48.5076100,7.27023100,,,1,
StopPoint:OCETrain TER-87214676,Wisches,,48.5076100,7.27023100,,,0,StopArea:OCE87214676
StopArea:OCE87214684,Russ-Hersbach,,48.4977740,7.25133300,,,1,
StopPoint:OCECar TER-87214684,Russ-Hersbach,,48.4977740,7.25133300,,,0,StopArea:OCE87214684
StopPoint:OCETrain TER-87214684,Russ-Hersbach,,48.4977740,7.25133300,,,0,StopArea:OCE87214684
StopArea:OCE87214692,Schirmeck - La Broque,,48.4799890,7.21633900,,,1,
StopPoint:OCECar TER-87214692,Schirmeck - La Broque,,48.4799890,7.21633900,,,0,StopArea:OCE87214692
StopPoint:OCETrain TER-87214692,Schirmeck - La Broque,,48.4799890,7.21633900,,,0,StopArea:OCE87214692
StopArea:OCE87214726,Rothau,,48.4592320,7.20770900,,,1,
StopPoint:OCECar TER-87214726,Rothau,,48.4592320,7.20770900,,,0,StopArea:OCE87214726
StopPoint:OCETrain TER-87214726,Rothau,,48.4592320,7.20770900,,,0,StopArea:OCE87214726
StopArea:OCE87214734,Fouday,,48.4247910,7.18725200,,,1,
StopPoint:OCETrain TER-87214734,Fouday,,48.4247910,7.18725200,,,0,StopArea:OCE87214734
StopArea:OCE87214742,Saint-Blaise-la-Roche,,48.4073330,7.16533600,,,1,
StopPoint:OCETrain TER-87214742,Saint-Blaise-la-Roche,,48.4073330,7.16533600,,,0,StopArea:OCE87214742
StopArea:OCE87214775,Bourg-Bruche,,48.3598460,7.13731000,,,1,
StopPoint:OCETrain TER-87214775,Bourg-Bruche,,48.3598460,7.13731000,,,0,StopArea:OCE87214775
StopArea:OCE87214783,Saales,,48.3473150,7.11022500,,,1,
StopPoint:OCECar TER-87214783,Saales,,48.3473150,7.11022500,,,0,StopArea:OCE87214783
StopPoint:OCETrain TER-87214783,Saales,,48.3473150,7.11022500,,,0,StopArea:OCE87214783
StopArea:OCE87214858,Sainte-Marie-aux-Mines Cité Scolaire,,48.2369290,7.17026400,,,1,
StopPoint:OCECar TER-87214858,Sainte-Marie-aux-Mines Cité Scolaire,,48.2369290,7.17026400,,,0,StopArea:OCE87214858
StopArea:OCE87214940,Le Ménilot,,48.2391670,4.29861100,,,1,
StopPoint:OCECar TER-87214940,Le Ménilot,,48.2391670,4.29861100,,,0,StopArea:OCE87214940
StopArea:OCE87214965,Les Forges de Clairvaux,,48.1600000,4.79000000,,,1,
StopPoint:OCECar TER-87214965,Les Forges de Clairvaux,,48.1600000,4.79000000,,,0,StopArea:OCE87214965
StopArea:OCE87214981,Daudes,,48.2450000,4.18388900,,,1,
StopPoint:OCECar TER-87214981,Daudes,,48.2450000,4.18388900,,,0,StopArea:OCE87214981
StopArea:OCE87215012,Sarrebourg,,48.7380800,7.05285000,,,1,
StopPoint:OCECar TER-87215012,Sarrebourg,,48.7380800,7.05285000,,,0,StopArea:OCE87215012
StopPoint:OCETrain TER-87215012,Sarrebourg,,48.7380800,7.05285000,,,0,StopArea:OCE87215012
StopArea:OCE87215038,Marnay-sur-Marne,,48.0155560,5.24138900,,,1,
StopPoint:OCECar TER-87215038,Marnay-sur-Marne,,48.0155560,5.24138900,,,0,StopArea:OCE87215038
StopArea:OCE87215061,Chaumont Castelneau,,48.0966890,5.14530500,,,1,
StopPoint:OCECar TER-87215061,Chaumont Castelneau,,48.0966890,5.14530500,,,0,StopArea:OCE87215061
StopArea:OCE87215079,Réding,,48.7426190,7.09596100,,,1,
StopPoint:OCECar TER-87215079,Réding,,48.7426190,7.09596100,,,0,StopArea:OCE87215079
StopPoint:OCETrain TER-87215079,Réding,,48.7426190,7.09596100,,,0,StopArea:OCE87215079
StopArea:OCE87215103,Igney - Avricourt,,48.6467010,6.80530600,,,1,
StopPoint:OCECar TER-87215103,Igney - Avricourt,,48.6467010,6.80530600,,,0,StopArea:OCE87215103
StopPoint:OCETrain TER-87215103,Igney - Avricourt,,48.6467010,6.80530600,,,0,StopArea:OCE87215103
StopArea:OCE87215111,Avricourt Nouvel Avricourt,,48.6517070,6.82168100,,,1,
